study,study_id,cohort,measure,units,timepoint,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_med,inj_iqr,inj_range,noninj_med,noninj_iqr,noninj_range,lsi_med,lsi_iqr,lsi_range,notes,graft_group,es_id,timepoint_mean,acl_n,female,inj_mean,inj_sd,noninj_mean,noninj_sd,lsi_mean,lsi_sd,group,graft,group_indep,group_indep_notes,timepoint_combo,combination_notes,ri,yi,vi,sei,zi,pval,ci.lb,ci.ub
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,21,6,64,37,NA,NA,NA,NA,0.940765625,0.158535034,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.061061241,4.44E-04,0.021064629,-2.89875694,0.003746452,-0.102347155,-0.019775326
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,22,12,62,37,NA,NA,NA,NA,0.963903226,0.086441245,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.036764378,1.30E-04,0.011389161,-3.228014543,0.001246526,-0.059086723,-0.014442032
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,23,24,59,37,NA,NA,NA,NA,1.001525424,0.122499382,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.001524261,2.54E-04,0.015923771,0.095722395,0.923741054,-0.029685755,0.032734278
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,24,6,64,37,NA,NA,NA,NA,0.931109375,0.236129983,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.071378527,0.001004895,0.031700087,-2.251682408,0.024342349,-0.133509556,-0.009247499
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,25,12,62,37,NA,NA,NA,NA,0.963725806,0.167116448,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.036948458,4.85E-04,0.022022665,-1.677746939,0.093396512,-0.080112087,0.006215171
Barnett 2020,#3474,Barnett 2020,hs mvic 90 hhd,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,26,24,59,37,NA,NA,NA,NA,0.975745763,0.265655182,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.024553216,0.001256352,0.035445052,-0.692712085,0.488490254,-0.09402424,0.044917809
Barnett 2020,#3474,Barnett 2020,single hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,27,6,52,37,NA,NA,NA,NA,0.857153846,0.172807031,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.154137859,7.82E-04,0.027957669,-5.513258613,3.52E-08,-0.208933884,-0.099341835
Barnett 2020,#3474,Barnett 2020,single hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,28,12,52,37,NA,NA,NA,NA,0.925211538,0.141760823,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.077732877,4.51E-04,0.021247778,-3.658400361,2.54E-04,-0.119377756,-0.036087998
Barnett 2020,#3474,Barnett 2020,single hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,29,24,42,37,NA,NA,NA,NA,0.941428571,0.130453457,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.060356801,4.57E-04,0.021381766,-2.82281643,0.004760382,-0.102264292,-0.018449309
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,30,6,47,37,NA,NA,NA,NA,0.905808511,0.07776739,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.098927352,1.57E-04,0.01252311,-7.899583423,2.80E-15,-0.123472197,-0.074382508
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,31,12,52,37,NA,NA,NA,NA,0.923576923,0.108869115,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.079501188,2.67E-04,0.016346695,-4.863441199,1.15E-06,-0.11154012,-0.047462255
Barnett 2020,#3474,Barnett 2020,triple hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,32,24,41,37,NA,NA,NA,NA,0.944512195,0.097514774,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.05708668,2.60E-04,0.016123931,-3.54049406,3.99E-04,-0.088689004,-0.025484357
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,33,6,50,37,NA,NA,NA,NA,1.0788,0.172343452,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.075849312,5.10E-04,0.022592737,3.357243185,7.87E-04,0.031568361,0.120130263
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,34,12,52,37,NA,NA,NA,NA,1.052403846,0.16570293,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.051076925,4.77E-04,0.021834643,2.339260844,0.019321938,0.008281811,0.093872038
Barnett 2020,#3474,Barnett 2020,6m timed hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,35,24,40,37,NA,NA,NA,NA,1.0449,0.105476161,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.043921187,2.55E-04,0.015960614,2.751848244,0.005925998,0.012638959,0.075203415
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,36,6,44,37,NA,NA,NA,NA,0.920727273,0.077823851,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.082591407,1.62E-04,0.012742521,-6.481559238,9.08E-11,-0.10756629,-0.057616524
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,37,12,51,37,NA,NA,NA,NA,0.944529412,0.137800414,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.057068452,4.17E-04,0.020429134,-2.793483738,0.005214365,-0.097108819,-0.017028086
Barnett 2020,#3474,Barnett 2020,triple crossover hop,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,38,24,39,37,NA,NA,NA,NA,0.964384615,0.098163295,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.036265085,2.66E-04,0.01629921,-2.224959731,0.026083942,-0.068210949,-0.004319221
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,39,6,63,37,NA,NA,NA,NA,1.024714286,0.158279961,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.024413828,3.79E-04,0.01946045,1.254535667,0.20964737,-0.013727952,0.062555608
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,40,12,61,37,NA,NA,NA,NA,1.037409836,0.163312877,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.036727064,4.06E-04,0.020156037,1.822137157,0.068434177,-0.002778043,0.076232171
Barnett 2020,#3474,Barnett 2020,hip abd hhd sidely,lsi,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,41,24,56,37,NA,NA,NA,NA,1.053035714,0.153007423,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,0.051677149,3.77E-04,0.019416698,2.661479727,0.007779803,0.01362112,0.089733179
Boo 2020,#2769,Boo 2020,single hop,cm,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,63,5.4,272,48,125.4105882,NA,136.6029412,NA,0.917551471,0.1417,Non-dominant leg injuries + Dominant leg injuries,mixed,NA,NA,NA,NA,0.85,-0.085485418,8.77E-05,0.009363861,-9.129291543,6.89E-20,-0.103838248,-0.067132587
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,73,0.1,80,21,NA,NA,NA,NA,0.791,0.130093197,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.234457311,3.38E-04,0.018387941,-12.75060145,3.09E-37,-0.270497014,-0.198417608
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,74,4,80,21,NA,NA,NA,NA,0.6265,0.117747911,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.467606505,4.42E-04,0.021012956,-22.25324771,1.05E-109,-0.508791141,-0.426421869
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,75,6,80,21,NA,NA,NA,NA,0.718,0.122072976,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.33128571,3.61E-04,0.019008598,-17.42820298,5.04E-68,-0.368541878,-0.294029542
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,76,8,80,21,NA,NA,NA,NA,0.777,0.117545744,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.252314929,2.86E-04,0.016913789,-14.91770617,2.53E-50,-0.285465345,-0.219164512
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,77,12,80,21,NA,NA,NA,NA,0.8545,0.10639243,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.157238776,1.94E-04,0.013920463,-11.29551369,1.38E-29,-0.184522382,-0.129955171
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,78,24,80,21,NA,NA,NA,NA,0.9275,0.111138658,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.075262485,1.79E-04,0.013396959,-5.617878144,1.93E-08,-0.101520042,-0.049004927
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,79,0.1,80,21,NA,NA,NA,NA,0.8485,0.115022498,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.164285194,2.30E-04,0.015156047,-10.83958039,2.23E-27,-0.193990501,-0.134579887
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,80,4,80,21,NA,NA,NA,NA,0.8965,0.124246091,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.109256986,2.40E-04,0.015494853,-7.051179472,1.77E-12,-0.139626339,-0.078887633
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quad,81,6,80,21,NA,NA,NA,NA,0.9685,0.08960806,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.032006796,1.07E-04,0.010344332,-3.094138479,0.001973853,-0.052281315,-0.011732278
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,82,8,80,21,NA,NA,NA,NA,0.987,0.078559582,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.01308524,7.92E-05,0.008898914,-1.470431042,0.141445049,-0.030526791,0.004356312
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,83,12,80,21,NA,NA,NA,NA,0.9925,0.075602784,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.007528266,7.25E-05,0.008516522,-0.883960173,0.376717713,-0.024220343,0.00916381
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,84,24,80,21,NA,NA,NA,NA,0.9705,0.091883696,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.029943876,1.12E-04,0.010585172,-2.828851149,0.004671542,-0.050690433,-0.00919732
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,85,0.1,80,21,NA,NA,NA,NA,0.791,0.129884607,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.234457311,3.37E-04,0.018358458,-12.77107844,2.38E-37,-0.270439228,-0.198475394
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,86,4,80,21,NA,NA,NA,NA,0.7945,0.127901583,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.230042293,3.24E-04,0.01799853,-12.78117153,2.09E-37,-0.265318763,-0.194765823
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,87,6,80,21,NA,NA,NA,NA,0.8965,0.111825868,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.109256986,1.94E-04,0.013945914,-7.834336547,4.71E-15,-0.136590476,-0.081923496
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,88,8,80,21,NA,NA,NA,NA,0.92,0.11087947,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.083381609,1.82E-04,0.013474676,-6.188023422,6.09E-10,-0.109791488,-0.05697173
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,89,12,80,21,NA,NA,NA,NA,0.949,0.10927859,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.05234648,1.66E-04,0.012874307,-4.06596477,4.78E-05,-0.077579659,-0.027113302
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,quad,90,24,80,21,NA,NA,NA,NA,0.98,0.085494481,BPTB Standard + BPTB Accelerated,BPTB,NA,NA,NA,NA,0.85,-0.020202707,9.51E-05,0.009753646,-2.071297893,0.038330966,-0.039319503,-0.001085912
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,109,0.1,80,24,NA,NA,NA,NA,0.782,0.114630851,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.245900538,2.69E-04,0.016388899,-15.00409176,6.90E-51,-0.278022189,-0.213778887
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,110,4,80,24,NA,NA,NA,NA,0.766,0.119116349,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.266573109,3.02E-04,0.017385917,-15.33270316,4.62E-53,-0.300648881,-0.232497337
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,111,6,80,24,NA,NA,NA,NA,0.8225,0.106437936,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.195406796,2.09E-04,0.014468235,-13.50591832,1.44E-41,-0.223764015,-0.167049577
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,112,8,80,24,NA,NA,NA,NA,0.882,0.123393789,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.125563223,2.45E-04,0.015641548,-8.027544699,9.94E-16,-0.156220093,-0.094906353
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,113,12,80,24,NA,NA,NA,NA,0.9165,0.106627571,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.087193212,1.69E-04,0.013007447,-6.70333031,2.04E-11,-0.112687339,-0.061699085
Cristiani 2020,#2173,Cristiani 2020,quad isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,114,24,80,24,NA,NA,NA,NA,0.9235,0.108491308,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.079584479,1.73E-04,0.013134485,-6.05920055,1.37E-09,-0.105327597,-0.053841362
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hs,115,0.1,80,24,NA,NA,NA,NA,0.8465,0.124975539,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.166645077,2.72E-04,0.016506427,-10.09576948,5.77E-24,-0.198997079,-0.134293076
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,116,4,80,24,NA,NA,NA,NA,0.7945,0.117266564,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.230042293,2.72E-04,0.016501951,-13.9403084,3.60E-44,-0.262385524,-0.197699062
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,117,6,80,24,NA,NA,NA,NA,0.8675,0.126726597,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.142139767,2.67E-04,0.016332524,-8.702866145,3.24E-18,-0.174150925,-0.110128609
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,118,8,80,24,NA,NA,NA,NA,0.8555,0.114586189,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.156069186,2.24E-04,0.014975015,-10.42197182,1.97E-25,-0.185419676,-0.126718695
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,119,12,80,24,NA,NA,NA,NA,0.8775,0.121587947,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.130678324,2.40E-04,0.015491676,-8.435389636,3.30E-17,-0.161041451,-0.100315197
Cristiani 2020,#2173,Cristiani 2020,hs isk con 90,lsi,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,120,24,80,24,NA,NA,NA,NA,0.8935,0.12171583,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.112608944,2.32E-04,0.015230267,-7.393760425,1.43E-13,-0.142459719,-0.08275817
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,121,0.1,80,24,NA,NA,NA,NA,0.83,0.129097093,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.186329578,3.02E-04,0.017389752,-10.71490742,8.66E-27,-0.220412865,-0.152246291
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,122,4,80,24,NA,NA,NA,NA,0.8545,0.123299416,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.157238776,2.60E-04,0.016132585,-9.74665728,1.91E-22,-0.188858062,-0.125619491
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,123,6,80,24,NA,NA,NA,NA,0.911,0.116707536,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.093212382,2.05E-04,0.014323051,-6.507858132,7.62E-11,-0.121285045,-0.065139718
Cristiani 2020,#2173,Cristiani 2020,single hop,lsi,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD/CI extracted graphically,hs,124,8,80,24,NA,NA,NA,NA,0.9515,0.10048433,HT Standard + HT Accelerated,HS,NA,NA,NA,NA,0.85,-0.049715592,1.39E-04,0.011807136,-4.210639509,2.55E-05,-0.072857153,-0.026574031
